AMU,neon1,neon2,neon3
58.9,3.26E-10,4.67E-10,4.07E-10
59,3.21E-10,1.16E-10,6.02E-10
59.1,3.25E-10,2.23E-10,7.99E-10
59.2,3.3E-10,3.49E-10,7.64E-10
59.3,3.65E-10,4.07E-10,7.75E-10
59.4,3.91E-10,7.33E-10,6.95E-10
59.5,5.01E-10,5.54E-10,5.51E-10
59.6,7.1E-10,5.26E-10,2.86E-10
59.7,5.28E-10,3.81E-10,6.89E-10
59.8,3.99E-10,1.79E-10,7.9E-10
59.9,2.17E-10,2.79E-10,7.38E-10
60,3.2E-10,2.88E-10,6.63E-10
60.1,4.3E-10,5.16E-10,5.96E-10
60.2,6.93E-10,6.98E-10,5.95E-10
60.3,6.43E-10,6.19E-10,5.66E-10
60.4,6.44E-10,5.39E-10,3.73E-10
60.5,4.89E-10,2.25E-10,3.84E-10
60.6,1.46E-10,1.94E-10,7.21E-10
60.7,2.59E-10,4.22E-10,7.98E-10
60.8,3.52E-10,6.76E-10,6.69E-10
60.9,7.96E-10,6.25E-10,6.65E-10
61,7.52E-10,6.07E-10,7.38E-10
61.1,6.97E-10,5.28E-10,7.31E-10
61.2,6.88E-10,6.39E-10,7.29E-10
61.3,6.18E-10,5.74E-10,7.18E-10
61.4,5.04E-10,5.13E-10,6.38E-10
61.5,1.63E-10,2.91E-10,5.87E-10
61.6,3.03E-10,2.07E-10,2.62E-10
61.7,2.73E-10,5.74E-10,3.34E-10
61.8,3.07E-10,5.52E-10,3.85E-10
61.9,3.8E-10,3.86E-10,6.17E-10
62,4.2E-10,1.32E-10,7.02E-10
62.1,7.38E-10,2.1E-10,6.46E-10
62.2,6.27E-10,3.1E-10,6.49E-10
62.3,2.55E-10,3.97E-10,6.1E-10
62.4,3.08E-10,6.85E-10,4.85E-10
62.5,3.75E-10,6.17E-10,2.14E-10
62.6,3.86E-10,5.34E-10,3.56E-10
62.7,6.79E-10,2.11E-10,3.28E-10
62.8,6.2E-10,1.64E-10,6.05E-10
62.9,6.4E-10,2.42E-10,7.32E-10
63,6.14E-10,2.79E-10,6.67E-10
63.1,5.59E-10,3.31E-10,5.98E-10
63.2,6.01E-10,7.06E-10,5.4E-10
63.3,5.76E-10,6.41E-10,1.92E-10
63.4,2.75E-10,5.52E-10,3.83E-10
63.5,2.89E-10,5.2E-10,7.8E-10
63.6,5.97E-10,5.57E-10,7.12E-10
63.7,8.54E-10,5.98E-10,7.35E-10
63.8,8.45E-10,6.55E-10,7.77E-10
63.9,9.27E-10,7.16E-10,7.7E-10
64,1.02E-09,7.64E-10,7.99E-10
64.1,9.94E-10,8.39E-10,8.57E-10
64.2,1.09E-09,9.64E-10,8.41E-10
64.3,1.01E-09,8.97E-10,7.48E-10
64.4,8.73E-10,7.2E-10,6.99E-10
64.5,6.99E-10,5.93E-10,6.15E-10
64.6,6.14E-10,4.99E-10,5.66E-10
64.7,3.02E-10,1.63E-10,2.75E-10
64.8,2.79E-10,2.14E-10,2.57E-10
64.9,3.47E-10,2.84E-10,3.26E-10
65,3.28E-10,3.5E-10,3.68E-10
