AMU,neon1,neon2,neon3
14.1,0.0000017,0.00000143,0.00000132
14.2,0.00000153,0.00000123,0.00000114
14.3,0.00000119,0.00000066,0.000000626
14.4,0.000000117,3.81E-08,3.76E-08
14.5,1.72E-08,1.24E-08,1.24E-08
14.6,0.000000013,1.31E-08,1.41E-08
14.7,2.53E-08,2.43E-08,2.73E-08
14.8,4.45E-08,3.65E-08,4.07E-08
14.9,5.62E-08,0.000000044,4.81E-08
15,6.59E-08,4.95E-08,5.37E-08
15.1,6.64E-08,4.89E-08,5.37E-08
15.2,6.61E-08,4.71E-08,5.19E-08
15.3,0.00000006,4.07E-08,4.54E-08
15.4,3.37E-08,2.43E-08,2.75E-08
15.5,3.83E-08,7.09E-08,9.01E-08
15.6,0.000000213,0.000000304,0.000000381
15.7,0.000000512,0.00000056,0.000000699
15.8,0.000000716,0.000000703,0.000000855
15.9,0.00000085,0.000000806,0.000000994
16,0.000000918,0.000000811,0.000000992
16.1,0.000000902,0.000000795,0.000000981
16.2,0.000000819,0.000000691,0.000000864
16.3,0.000000654,0.000000394,0.000000511
16.4,0.00000011,6.88E-08,0.000000118
16.5,0.000000114,0.000000247,0.000000515
16.6,0.00000061,0.00000094,0.00000191
16.7,0.00000142,0.00000169,0.00000342
16.8,0.00000199,0.00000207,0.00000415
16.9,0.00000235,0.0000024,0.0000048
17,0.00000259,0.00000241,0.00000481
17.1,0.00000253,0.0000024,0.00000484
17.2,0.00000233,0.00000209,0.00000431
17.3,0.000002,0.00000124,0.00000257
17.4,0.000000324,0.000000242,0.000000512
17.5,0.000000512,0.00000107,0.00000225
17.6,0.00000255,0.00000381,0.00000777
17.7,0.00000588,0.00000676,0.0000141
17.8,0.00000824,0.00000841,0.000018
17.9,0.00000959,0.00000965,0.0000212
18,0.0000107,0.00000987,0.0000219
18.1,0.0000104,0.00000978,0.0000219
18.2,0.00000983,0.00000864,0.0000196
18.3,0.00000865,0.00000534,0.0000123
18.4,0.000000987,0.000000126,0.000000257
18.5,3.81E-08,2.28E-08,4.68E-08
18.6,1.82E-08,2.21E-08,9.08E-08
18.7,2.82E-08,4.33E-08,0.000000196
18.8,4.88E-08,6.63E-08,0.000000264
18.9,6.52E-08,8.02E-08,0.000000314
19,8.05E-08,9.27E-08,0.000000335
19.1,8.54E-08,9.85E-08,0.000000343
19.2,9.96E-08,0.000000113,0.000000339
19.3,0.00000013,0.000000159,0.000000336
19.4,0.000000205,0.000000337,0.000000384
19.5,0.00000077,0.00000169,0.00000192
19.6,0.0000033,0.00000484,0.00000556
19.7,0.00000645,0.00000775,0.00000885
19.8,0.00000852,0.00000903,0.0000105
19.9,0.00000991,0.0000103,0.000012
20,0.0000106,0.0000101,0.0000117
20.1,0.0000104,0.0000102,0.0000118
20.2,0.00000951,0.00000886,0.0000104
20.3,0.00000779,0.00000401,0.00000465
20.4,0.000000429,7.86E-08,9.15E-08
20.5,2.92E-08,1.82E-08,2.14E-08
20.6,1.39E-08,0.000000015,2.06E-08
20.7,1.67E-08,2.34E-08,3.41E-08
20.8,0.000000025,3.26E-08,4.79E-08
20.9,0.000000032,3.89E-08,5.89E-08
21,3.79E-08,4.21E-08,6.26E-08
21.1,3.88E-08,4.26E-08,0.000000064
21.2,3.93E-08,4.13E-08,6.12E-08
21.3,0.000000039,3.66E-08,5.11E-08
21.4,2.75E-08,3.05E-08,3.71E-08
21.5,5.75E-08,0.000000146,0.00000018
21.6,0.000000298,0.000000464,0.00000056
21.7,0.000000631,0.000000772,0.000000887
21.8,0.000000854,0.000000903,0.00000106
21.9,0.000000998,0.00000104,0.00000121
22,0.00000106,0.000000991,0.00000117
22.1,0.00000103,0.000001,0.00000118
22.2,0.000000936,0.000000865,0.00000104
22.3,0.000000796,0.000000423,0.000000484
22.4,8.64E-08,2.55E-08,2.73E-08
22.5,1.22E-08,7.6E-09,8.07E-09
22.6,4.93E-09,3.46E-09,3.95E-09
22.7,2.54E-09,2.14E-09,2.88E-09
22.8,1.69E-09,1.7E-09,2.67E-09
22.9,1.34E-09,1.49E-09,2.63E-09
23,1.22E-09,1.38E-09,2.88E-09
23.1,1.15E-09,1.36E-09,3.06E-09
23.2,1.16E-09,1.37E-09,3.02E-09
23.3,1.08E-09,1.18E-09,2.8E-09
23.4,8.01E-10,7.25E-10,1.74E-09
23.5,2.5E-10,2.9E-10,1.03E-09
23.6,1.31E-10,3.76E-11,7.1E-10
23.7,2.1E-10,4.71E-11,6.15E-10
23.8,2.3E-10,1.45E-10,1.97E-10
23.9,2.83E-10,1.49E-10,2.42E-10
24,1.68E-10,1.79E-10,3.51E-10
24.1,1.76E-10,1.58E-10,3.91E-10
24.2,2.66E-10,1.55E-10,7.24E-10
24.3,3.27E-10,1.7E-10,5.82E-10
24.4,2.71E-10,1.6E-10,2.37E-10
24.5,2.26E-10,2.49E-10,3.14E-10
24.6,1.85E-10,2.69E-10,5.14E-10
24.7,3.2E-10,5.59E-10,9.21E-10
24.8,3.16E-10,6.92E-10,1.01E-09
