Oct 01, 2019  02:34:42 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.005

Pressure vs Time Scan Setup:

Active channels in Scan, 4 
Units, Torr
Sample Period, 2.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Start time, Oct 01, 2019  02:34:42 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2              H2                    1.00         3            OFF
2         4              He                    1.00         3            OFF
3         32             O2                    1.00         3            OFF
4         28             N2                    1.00         3            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   

142.000,   5.88E-006,   7.63E-008,   1.09E-007,   1.40E-007,  
144.000,   5.90E-006,   7.40E-008,   1.09E-007,   1.40E-007,  
146.000,   5.86E-006,   7.25E-008,   1.09E-007,   1.40E-007,  
148.000,   5.85E-006,   7.04E-008,   1.09E-007,   1.40E-007,  
150.000,   5.91E-006,   6.88E-008,   1.09E-007,   1.40E-007,  
152.000,   5.89E-006,   6.64E-008,   1.09E-007,   1.41E-007,  
154.000,   5.89E-006,   6.52E-008,   1.09E-007,   1.39E-007,  
156.000,   5.85E-006,   6.35E-008,   1.09E-007,   1.40E-007,  
158.000,   5.87E-006,   6.16E-008,   1.08E-007,   1.42E-007,  
160.000,   5.85E-006,   5.97E-008,   1.09E-007,   1.40E-007,  
162.000,   5.89E-006,   5.82E-008,   1.09E-007,   1.40E-007,  
164.000,   5.91E-006,   5.72E-008,   1.08E-007,   1.40E-007,  
166.000,   5.88E-006,   5.52E-008,   1.08E-007,   1.40E-007,  
168.000,   5.88E-006,   5.38E-008,   1.08E-007,   1.39E-007,  
170.000,   5.87E-006,   5.25E-008,   1.08E-007,   1.40E-007,  
172.000,   5.84E-006,   5.12E-008,   1.08E-007,   1.40E-007,  
174.000,   5.88E-006,   4.98E-008,   1.08E-007,   1.40E-007,  
176.000,   5.88E-006,   4.87E-008,   1.07E-007,   1.40E-007,  
178.000,   5.88E-006,   4.75E-008,   1.08E-007,   1.39E-007,  
180.000,   5.89E-006,   4.60E-008,   1.08E-007,   1.40E-007,  
182.000,   5.89E-006,   4.49E-008,   1.07E-007,   1.40E-007,  
184.000,   5.88E-006,   4.38E-008,   1.07E-007,   1.40E-007,  
186.000,   5.87E-006,   4.30E-008,   1.08E-007,   1.39E-007,  
188.000,   5.87E-006,   4.18E-008,   1.07E-007,   1.40E-007,  
190.000,   5.87E-006,   4.07E-008,   1.07E-007,   1.39E-007,  
192.000,   5.86E-006,   3.93E-008,   1.06E-007,   1.40E-007,  
194.000,   5.89E-006,   3.87E-008,   1.07E-007,   1.40E-007,  
196.000,   5.87E-006,   3.78E-008,   1.06E-007,   1.40E-007,  
198.000,   5.87E-006,   3.68E-008,   1.06E-007,   1.39E-007,  
200.000,   5.87E-006,   3.64E-008,   1.06E-007,   1.40E-007,  
202.015,   5.85E-006,   3.50E-008,   1.07E-007,   1.39E-007,  
204.000,   5.88E-006,   3.44E-008,   1.06E-007,   1.39E-007,  
206.000,   5.85E-006,   3.36E-008,   1.07E-007,   1.39E-007,  
208.000,   5.88E-006,   3.31E-008,   1.06E-007,   1.39E-007,  
210.000,   5.90E-006,   3.21E-008,   1.06E-007,   1.39E-007,  
212.015,   5.87E-006,   3.16E-008,   1.06E-007,   1.39E-007,  
214.000,   5.89E-006,   3.10E-008,   1.06E-007,   1.40E-007,  
216.000,   5.87E-006,   3.05E-008,   1.06E-007,   1.40E-007,  
218.000,   5.85E-006,   2.95E-008,   1.06E-007,   1.39E-007,  
220.000,   5.87E-006,   2.90E-008,   1.06E-007,   1.39E-007,  
222.000,   5.86E-006,   2.85E-008,   1.06E-007,   1.38E-007,  
224.000,   5.86E-006,   2.82E-008,   1.05E-007,   1.39E-007,  
226.000,   5.86E-006,   2.75E-008,   1.06E-007,   1.38E-007,  
228.000,   5.89E-006,   2.68E-008,   1.05E-007,   1.40E-007,  
230.000,   5.86E-006,   2.69E-008,   1.05E-007,   1.39E-007,  
232.000,   5.86E-006,   2.62E-008,   1.05E-007,   1.39E-007,  
234.000,   5.86E-006,   2.56E-008,   1.05E-007,   1.40E-007,  
236.000,   5.86E-006,   2.56E-008,   1.06E-007,   1.39E-007,  
238.000,   5.87E-006,   2.49E-008,   1.05E-007,   1.40E-007,  
240.000,   5.85E-006,   2.41E-008,   1.05E-007,   1.40E-007,  
242.000,   5.84E-006,   2.38E-008,   1.05E-007,   1.38E-007,  
244.000,   5.85E-006,   2.36E-008,   1.05E-007,   1.39E-007,  
246.000,   5.82E-006,   2.31E-008,   1.04E-007,   1.39E-007,  
