Oct 01, 2019  02:46:02 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.005

Pressure vs Time Scan Setup:

Active channels in Scan, 4 
Units, Torr
Sample Period, 2.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Start time, Oct 01, 2019  02:46:02 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2              H2                    1.00         3            OFF
2         4              He                    1.00         3            OFF
3         32             O2                    1.00         3            OFF
4         28             N2                    1.00         3            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   

142.016,   3.98E-006,   2.79E-007,   4.77E-008,   4.81E-008,  
144.016,   3.98E-006,   2.69E-007,   4.79E-008,   4.78E-008,  
146.016,   3.99E-006,   2.62E-007,   4.78E-008,   4.82E-008,  
148.016,   4.00E-006,   2.54E-007,   4.80E-008,   4.82E-008,  
150.016,   3.97E-006,   2.45E-007,   4.81E-008,   4.82E-008,  
152.016,   3.98E-006,   2.39E-007,   4.82E-008,   4.83E-008,  
154.016,   4.00E-006,   2.30E-007,   4.78E-008,   4.82E-008,  
156.016,   3.99E-006,   2.24E-007,   4.74E-008,   4.81E-008,  
158.016,   3.98E-006,   2.17E-007,   4.76E-008,   4.84E-008,  
160.016,   3.99E-006,   2.10E-007,   4.74E-008,   4.78E-008,  
162.016,   3.99E-006,   2.04E-007,   4.80E-008,   4.81E-008,  
164.016,   3.99E-006,   1.97E-007,   4.73E-008,   4.79E-008,  
166.016,   3.99E-006,   1.92E-007,   4.69E-008,   4.80E-008,  
168.016,   4.00E-006,   1.88E-007,   4.71E-008,   4.78E-008,  
170.016,   4.00E-006,   1.81E-007,   4.73E-008,   4.76E-008,  
172.016,   4.00E-006,   1.76E-007,   4.75E-008,   4.77E-008,  
174.016,   4.02E-006,   1.71E-007,   4.74E-008,   4.86E-008,  
176.016,   4.03E-006,   1.66E-007,   4.73E-008,   4.81E-008,  
178.016,   4.04E-006,   1.62E-007,   4.69E-008,   4.78E-008,  
180.016,   4.02E-006,   1.57E-007,   4.74E-008,   4.80E-008,  
182.016,   4.03E-006,   1.53E-007,   4.72E-008,   4.77E-008,  
184.016,   4.00E-006,   1.49E-007,   4.71E-008,   4.82E-008,  
186.016,   4.02E-006,   1.45E-007,   4.68E-008,   4.78E-008,  
188.016,   4.05E-006,   1.40E-007,   4.68E-008,   4.81E-008,  
190.016,   4.04E-006,   1.36E-007,   4.66E-008,   4.77E-008,  
192.016,   4.02E-006,   1.32E-007,   4.68E-008,   4.76E-008,  
194.016,   4.03E-006,   1.28E-007,   4.68E-008,   4.76E-008,  
196.016,   4.02E-006,   1.25E-007,   4.69E-008,   4.80E-008,  
198.016,   4.02E-006,   1.22E-007,   4.68E-008,   4.81E-008,  
200.016,   4.04E-006,   1.18E-007,   4.68E-008,   4.81E-008,  
202.016,   4.02E-006,   1.14E-007,   4.72E-008,   4.79E-008,  
204.016,   4.04E-006,   1.11E-007,   4.66E-008,   4.81E-008,  
206.016,   4.00E-006,   1.08E-007,   4.62E-008,   4.78E-008,  
208.016,   4.01E-006,   1.04E-007,   4.62E-008,   4.76E-008,  
210.016,   4.03E-006,   1.01E-007,   4.64E-008,   4.78E-008,  
212.016,   4.02E-006,   9.85E-008,   4.63E-008,   4.76E-008,  
214.016,   4.04E-006,   9.59E-008,   4.65E-008,   4.82E-008,  
216.016,   4.04E-006,   9.31E-008,   4.66E-008,   4.74E-008,  
218.016,   4.03E-006,   9.08E-008,   4.63E-008,   4.79E-008,  
220.016,   4.02E-006,   8.81E-008,   4.61E-008,   4.73E-008,  
222.016,   4.03E-006,   8.54E-008,   4.65E-008,   4.81E-008,  
224.016,   4.03E-006,   8.31E-008,   4.58E-008,   4.75E-008,  
226.016,   4.01E-006,   8.09E-008,   4.68E-008,   4.74E-008,  
228.016,   4.04E-006,   7.90E-008,   4.58E-008,   4.71E-008,  
230.016,   4.01E-006,   7.67E-008,   4.61E-008,   4.79E-008,  
232.016,   4.04E-006,   7.50E-008,   4.64E-008,   4.75E-008,  
234.016,   4.03E-006,   7.34E-008,   4.61E-008,   4.75E-008,  
236.016,   4.05E-006,   7.15E-008,   4.64E-008,   4.74E-008,  
238.016,   4.04E-006,   6.95E-008,   4.57E-008,   4.75E-008,  
240.016,   4.03E-006,   6.81E-008,   4.55E-008,   4.75E-008,  
242.016,   4.06E-006,   6.61E-008,   4.57E-008,   4.70E-008,  
