Sep 26, 2019  03:47:07 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


 20.50,   1.82E-008, 
 20.60,   1.50E-008, 
 20.70,   2.34E-008, 
 20.80,   3.26E-008, 
 20.90,   3.89E-008, 
 21.00,   4.21E-008, 
 21.10,   4.26E-008, 
 21.20,   4.13E-008, 
 21.30,   3.66E-008, 
 21.40,   3.05E-008, 
 21.50,   1.46E-007, 
 21.60,   4.64E-007, 
 21.70,   7.72E-007, 
 21.80,   9.03E-007, 
 21.90,   1.04E-006, 
 22.00,   9.91E-007, 
 22.10,   1.00E-006, 
 22.20,   8.65E-007, 
 22.30,   4.23E-007, 
 22.40,   2.55E-008, 
 22.50,   7.60E-009, 
 22.60,   3.46E-009, 
 22.70,   2.14E-009, 
 22.80,   1.70E-009, 
 22.90,   1.49E-009, 
 23.00,   1.38E-009, 
 23.10,   1.36E-009, 
 23.20,   1.37E-009, 
 23.30,   1.18E-009, 
 23.40,   7.25E-010, 
 23.50,   2.90E-010, 
 23.60,   3.76E-011, 
 23.70,   4.71E-011, 
 23.80,   1.45E-010, 
 23.90,   1.49E-010, 
 24.00,   1.79E-010, 
 24.10,   1.58E-010, 
 24.20,   1.55E-010, 
 24.30,   1.70E-010, 
 24.40,   1.60E-010, 
 24.50,   2.49E-010, 
 24.60,   2.69E-010, 
 24.70,   5.59E-010, 
 24.80,   6.92E-010, 
 24.90,   6.51E-010, 
 25.00,   6.12E-010, 
 25.10,   5.93E-010, 
 25.20,   6.65E-010, 
 25.30,   7.49E-010, 
 25.40,   6.84E-010, 
 25.50,   7.13E-010, 
 25.60,   1.21E-009, 
 25.70,   2.17E-009, 
 25.80,   3.28E-009, 
 25.90,   4.33E-009, 
 26.00,   5.25E-009, 
 26.10,   5.77E-009, 
 26.20,   6.03E-009, 
 26.30,   5.94E-009, 
 26.40,   5.05E-009, 
 26.50,   5.21E-009, 
 26.60,   8.41E-009, 
 26.70,   1.47E-008, 
 26.80,   2.31E-008, 
 26.90,   3.38E-008, 
 27.00,   5.30E-008, 
 27.10,   8.60E-008, 
 27.20,   1.58E-007, 
 27.30,   3.40E-007, 
 27.40,   9.03E-007, 
 27.50,   3.55E-006, 
 27.60,   1.03E-005, 
 27.70,   1.69E-005, 
 27.80,   2.11E-005, 
 27.90,   2.49E-005, 
 28.00,   2.64E-005, 
 28.10,   2.62E-005, 
 28.20,   2.27E-005, 
 28.30,   1.45E-005, 
 28.40,   3.51E-007, 
 28.50,   7.59E-008, 
 28.60,   1.86E-007, 
 28.70,   3.26E-007, 
 28.80,   4.17E-007, 
 28.90,   5.08E-007, 
 29.00,   5.20E-007, 
 29.10,   5.14E-007, 
 29.20,   4.49E-007, 
 29.30,   3.18E-007, 
 29.40,   5.68E-008, 
 29.50,   1.40E-007, 
 29.60,   4.42E-007, 
 29.70,   7.15E-007, 
 29.80,   8.60E-007, 
 29.90,   1.02E-006, 
 30.00,   1.01E-006, 
 30.10,   9.97E-007, 
 30.20,   8.64E-007, 
 30.30,   4.92E-007, 
 30.40,   3.52E-008, 
 30.50,   9.86E-009, 
 30.60,   6.90E-009, 
 30.70,   7.96E-009, 
 30.80,   1.06E-008, 
 30.90,   1.43E-008, 
 31.00,   1.96E-008, 
 31.10,   2.80E-008, 
 31.20,   4.63E-008, 
 31.30,   9.49E-008, 
 31.40,   2.54E-007, 
 31.50,   1.16E-006, 
 31.60,   2.98E-006, 
 31.70,   4.35E-006, 
 31.80,   5.03E-006, 
 31.90,   5.92E-006, 
 32.00,   5.86E-006, 
 32.10,   5.75E-006, 
 32.20,   5.05E-006, 
 32.30,   2.34E-006, 
 32.40,   6.92E-008, 
 32.50,   1.41E-008, 
 32.60,   9.96E-009, 
 32.70,   1.20E-008, 
 32.80,   1.56E-008, 
 32.90,   1.94E-008, 
 33.00,   2.22E-008, 
 33.10,   2.24E-008, 
 33.20,   2.13E-008, 
 33.30,   1.78E-008, 
 33.40,   8.60E-009, 
 33.50,   6.14E-009, 
 33.60,   8.49E-009, 
 33.70,   1.30E-008, 
 33.80,   1.72E-008, 
 33.90,   2.10E-008, 
 34.00,   2.31E-008, 
 34.10,   2.32E-008, 
 34.20,   2.17E-008, 
 34.30,   1.79E-008, 
 34.40,   8.34E-009, 
 34.50,   3.91E-009, 
 34.60,   2.20E-009, 
 34.70,   1.40E-009, 
 34.80,   1.04E-009, 
 34.90,   8.61E-010, 
 35.00,   7.66E-010, 
 35.10,   6.41E-010, 
 35.20,   6.23E-010, 
 35.30,   5.88E-010, 
 35.40,   3.26E-010, 
 35.50,   3.80E-010, 
 35.60,   1.03E-009, 
 35.70,   1.39E-009, 
 35.80,   1.80E-009, 
 35.90,   2.17E-009, 
 36.00,   2.42E-009, 
 36.10,   2.51E-009, 
 36.20,   2.39E-009, 
 36.30,   2.00E-009, 
 36.40,   1.27E-009, 
 36.50,   9.13E-010, 
 36.60,   6.61E-010, 
 36.70,   2.89E-010, 
 36.80,   2.12E-010, 
 36.90,   2.56E-010, 
 37.00,   3.32E-010, 
 37.10,   5.93E-010, 
 37.20,   5.91E-010, 
 37.30,   4.47E-010, 
 37.40,   1.72E-010, 
 37.50,   2.20E-010, 
 37.60,   3.01E-010, 
 37.70,   6.93E-010, 
 37.80,   8.24E-010, 
 37.90,   9.39E-010, 
 38.00,   9.24E-010, 
 38.10,   9.77E-010, 
 38.20,   1.00E-009, 
 38.30,   9.74E-010, 
 38.40,   7.01E-010, 
 38.50,   6.18E-010, 
 38.60,   6.22E-010, 
 38.70,   7.74E-010, 
 38.80,   9.88E-010, 
 38.90,   1.35E-009, 
 39.00,   2.01E-009, 
 39.10,   2.87E-009, 
 39.20,   4.65E-009, 
 39.30,   8.63E-009, 
 39.40,   2.51E-008, 
 39.50,   1.35E-007, 
 39.60,   2.44E-007, 
 39.70,   3.18E-007, 
 39.80,   3.61E-007, 
 39.90,   4.29E-007, 
 40.00,   4.26E-007, 
 40.10,   4.24E-007, 
 40.20,   3.58E-007, 
 40.30,   1.58E-007, 
 40.40,   2.08E-008, 
 40.50,   7.53E-009, 
 40.60,   4.58E-009, 
 40.70,   3.94E-009, 
 40.80,   4.03E-009, 
 40.90,   4.47E-009, 
 41.00,   4.91E-009, 
 41.10,   5.05E-009, 
 41.20,   5.01E-009, 
 41.30,   4.43E-009, 
 41.40,   2.88E-009, 
 41.50,   1.72E-009, 
 41.60,   1.44E-009, 
 41.70,   1.64E-009, 
 41.80,   1.91E-009, 
 41.90,   2.20E-009, 
 42.00,   2.58E-009, 
 42.10,   2.91E-009, 
 42.20,   3.01E-009, 
 42.30,   2.87E-009, 
 42.40,   2.20E-009, 
 42.50,   1.68E-009, 
 42.60,   1.92E-009, 
 42.70,   2.60E-009, 
 42.80,   3.42E-009, 
 42.90,   4.34E-009, 
 43.00,   5.59E-009, 
 43.10,   6.88E-009, 
 43.20,   8.42E-009, 
 43.30,   1.08E-008, 
 43.40,   1.69E-008, 
 43.50,   7.39E-008, 
 43.60,   1.83E-007, 
 43.70,   2.54E-007, 
 43.80,   2.87E-007, 
 43.90,   3.43E-007, 
 44.00,   3.66E-007, 
 44.10,   3.82E-007, 
 44.20,   3.22E-007, 
 44.30,   2.26E-007, 
 44.40,   3.74E-008, 
 44.50,   1.04E-008, 
 44.60,   6.02E-009, 
 44.70,   5.13E-009, 
 44.80,   5.38E-009, 
 44.90,   6.05E-009, 
 45.00,   6.91E-009, 
 45.10,   7.54E-009, 
 45.20,   7.59E-009, 
 45.30,   6.88E-009, 
 45.40,   4.41E-009, 
 45.50,   3.14E-009, 
 45.60,   3.81E-009, 
 45.70,   5.33E-009, 
 45.80,   7.09E-009, 
 45.90,   8.63E-009, 
 46.00,   1.02E-008, 
 46.10,   1.14E-008, 
 46.20,   1.15E-008, 
 46.30,   9.96E-009, 
 46.40,   5.80E-009, 
 46.50,   3.04E-009, 
 46.60,   1.81E-009, 
 46.70,   1.20E-009, 
 46.80,   9.64E-010, 
 46.90,   8.86E-010, 
 47.00,   8.56E-010, 
 47.10,   8.95E-010, 
 47.20,   9.76E-010, 
 47.30,   9.31E-010, 
 47.40,   7.37E-010, 
 47.50,   4.50E-010, 
 47.60,   1.60E-010, 
 47.70,   3.85E-010, 
 47.80,   7.11E-010, 
 47.90,   6.57E-010, 
 48.00,   6.85E-010, 
 48.10,   7.44E-010, 
 48.20,   7.45E-010, 
 48.30,   6.10E-010, 
 48.40,   2.59E-010, 
 48.50,   1.63E-010, 
 48.60,   1.82E-010, 
 48.70,   1.53E-010, 
 48.80,   1.83E-010, 
 48.90,   2.48E-010, 
 49.00,   2.73E-010, 
 49.10,   2.93E-010, 
 49.20,   2.64E-010, 
 49.30,   2.73E-010, 
 49.40,   3.00E-010, 
 49.50,   2.95E-010, 
 49.60,   2.88E-010, 
 49.70,   2.97E-010, 
 49.80,   2.89E-010, 
 49.90,   2.64E-010, 
 50.00,   2.84E-010, 
 50.10,   5.15E-010, 
 50.20,   6.74E-010, 
 50.30,   6.49E-010, 
 50.40,   5.97E-010, 
 50.50,   3.77E-010, 
 50.60,   1.33E-010, 
 50.70,   2.48E-010, 
 50.80,   3.12E-010, 
 50.90,   3.35E-010, 
 51.00,   6.64E-010, 
 51.10,   6.12E-010, 
 51.20,   6.04E-010, 
 51.30,   6.55E-010, 
 51.40,   5.49E-010, 
 51.50,   5.29E-010, 
 51.60,   5.39E-010, 
 51.70,   5.54E-010, 
 51.80,   6.21E-010, 
 51.90,   6.26E-010, 
 52.00,   6.48E-010, 
 52.10,   6.38E-010, 
 52.20,   6.72E-010, 
 52.30,   6.63E-010, 
 52.40,   6.56E-010, 
 52.50,   5.11E-010, 
 52.60,   5.28E-010, 
 52.70,   2.96E-010, 
 52.80,   7.40E-011, 
 52.90,   1.74E-010, 
 53.00,   2.49E-010, 
 53.10,   2.96E-010, 
 53.20,   2.82E-010, 
 53.30,   2.89E-010, 
 53.40,   2.74E-010, 
 53.50,   2.88E-010, 
 53.60,   2.76E-010, 
 53.70,   5.80E-010, 
 53.80,   5.26E-010, 
 53.90,   1.49E-010, 
 54.00,   2.56E-010, 
 54.10,   3.08E-010, 
 54.20,   5.48E-010, 
 54.30,   6.85E-010, 
 54.40,   4.59E-010, 
 54.50,   1.65E-010, 
 54.60,   2.84E-010, 
 54.70,   4.11E-010, 
 54.80,   6.33E-010, 
 54.90,   5.36E-010, 
 55.00,   6.02E-010, 
 55.10,   6.21E-010, 
 55.20,   6.07E-010, 
 55.30,   6.40E-010, 
 55.40,   5.37E-010, 
 55.50,   3.30E-010, 
 55.60,   2.07E-010, 
 55.70,   2.69E-010, 
 55.80,   5.28E-010, 
 55.90,   7.47E-010, 
 56.00,   7.44E-010, 
 56.10,   7.13E-010, 
 56.20,   7.17E-010, 
 56.30,   6.00E-010, 
 56.40,   5.13E-010, 
 56.50,   5.01E-010, 
 56.60,   1.97E-010, 
 56.70,   2.78E-010, 
 56.80,   6.05E-010, 
 56.90,   6.77E-010, 
 57.00,   6.52E-010, 
 57.10,   6.38E-010, 
 57.20,   6.60E-010, 
 57.30,   6.24E-010, 
 57.40,   6.18E-010, 
 57.50,   4.76E-010, 
 57.60,   1.81E-010, 
 57.70,   3.07E-010, 
 57.80,   5.99E-010, 
 57.90,   6.83E-010, 
 58.00,   6.19E-010, 
 58.10,   5.53E-010, 
 58.20,   5.66E-010, 
 58.30,   5.38E-010, 
 58.40,   5.32E-010, 
 58.50,   1.69E-010, 
 58.60,   3.12E-010, 
 58.70,   6.96E-010, 
 58.80,   6.36E-010, 
 58.90,   4.67E-010, 
 59.00,   1.16E-010, 
 59.10,   2.23E-010, 
 59.20,   3.49E-010, 
 59.30,   4.07E-010, 
 59.40,   7.33E-010, 
 59.50,   5.54E-010, 
 59.60,   5.26E-010, 
 59.70,   3.81E-010, 
 59.80,   1.79E-010, 
 59.90,   2.79E-010, 
 60.00,   2.88E-010, 
 60.10,   5.16E-010, 
 60.20,   6.98E-010, 
 60.30,   6.19E-010, 
 60.40,   5.39E-010, 
 60.50,   2.25E-010, 
 60.60,   1.94E-010, 
 60.70,   4.22E-010, 
 60.80,   6.76E-010, 
 60.90,   6.25E-010, 
 61.00,   6.07E-010, 
 61.10,   5.28E-010, 
 61.20,   6.39E-010, 
 61.30,   5.74E-010, 
 61.40,   5.13E-010, 
 61.50,   2.91E-010, 
 61.60,   2.07E-010, 
 61.70,   5.74E-010, 
 61.80,   5.52E-010, 
 61.90,   3.86E-010, 
 62.00,   1.32E-010, 
 62.10,   2.10E-010, 
 62.20,   3.10E-010, 
 62.30,   3.97E-010, 
 62.40,   6.85E-010, 
 62.50,   6.17E-010, 
 62.60,   5.34E-010, 
 62.70,   2.11E-010, 
 62.80,   1.64E-010, 
 62.90,   2.42E-010, 
 63.00,   2.79E-010, 
 63.10,   3.31E-010, 
 63.20,   7.06E-010, 
 63.30,   6.41E-010, 
 63.40,   5.52E-010, 
 63.50,   5.20E-010, 
 63.60,   5.57E-010, 
 63.70,   5.98E-010, 
 63.80,   6.55E-010, 
 63.90,   7.16E-010, 
 64.00,   7.64E-010, 
 64.10,   8.39E-010, 
 64.20,   9.64E-010, 
 64.30,   8.97E-010, 
 64.40,   7.20E-010, 
 64.50,   5.93E-010, 
 64.60,   4.99E-010, 
 64.70,   1.63E-010, 
 64.80,   2.14E-010, 
 64.90,   2.84E-010, 
 65.00,   3.50E-010, 
