Sep 24, 2019  04:07:44 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 0 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,  -1.32E-009, 
  1.10,  -1.32E-009, 
  1.20,   1.39E-007, 
  1.30,   9.61E-007, 
  1.40,   5.87E-007, 
  1.50,   3.13E-006, 
  1.60,   7.43E-006, 
  1.70,   1.20E-005, 
  1.80,   1.45E-005, 
  1.90,   1.69E-005, 
  2.00,   1.78E-005, 
  2.10,   1.74E-005, 
  2.20,   1.66E-005, 
  2.30,   1.30E-005, 
  2.40,   3.56E-006, 
  2.50,   3.89E-008, 
  2.60,   8.43E-009, 
  2.70,   1.79E-008, 
  2.80,   2.99E-008, 
  2.90,   3.92E-008, 
  3.00,   3.92E-008, 
  3.10,   4.36E-008, 
  3.20,   3.90E-008, 
  3.30,   3.10E-008, 
  3.40,   1.22E-008, 
  3.50,   2.29E-009, 
  3.60,   8.33E-010, 
  3.70,   6.33E-010, 
  3.80,   6.80E-010, 
  3.90,   8.58E-010, 
  4.00,   9.47E-010, 
  4.10,   1.06E-009, 
  4.20,   1.03E-009, 
  4.30,   8.89E-010, 
  4.40,   5.75E-010, 
  4.50,   2.71E-010, 
  4.60,   9.37E-011, 
  4.70,   7.18E-011, 
  4.80,   8.97E-012, 
  4.90,  -8.41E-012, 
  5.00,   2.24E-012, 
  5.10,  -7.85E-012, 
  5.20,  -5.61E-012, 
  5.30,  -2.75E-011, 
  5.40,  -3.81E-011, 
  5.50,  -4.09E-011, 
  5.60,  -4.54E-011, 
  5.70,  -2.02E-011, 
  5.80,  -4.88E-011, 
  5.90,  -2.69E-011, 
  6.00,  -2.80E-012, 
  6.10,  -1.35E-011, 
  6.20,  -1.68E-012, 
  6.30,   7.29E-012, 
  6.40,  -1.57E-011, 
  6.50,   1.51E-011, 
  6.60,   3.31E-011, 
  6.70,   2.36E-011, 
  6.80,   1.85E-011, 
  6.90,   3.53E-011, 
  7.00,   3.65E-011, 
  7.10,   4.71E-011, 
  7.20,   9.25E-011, 
  7.30,   9.20E-011, 
  7.40,   6.90E-011, 
  7.50,   3.70E-011, 
  7.60,   4.49E-011, 
  7.70,   8.97E-011, 
  7.80,   1.65E-010, 
  7.90,   2.77E-010, 
  8.00,   2.58E-010, 
  8.10,   2.64E-010, 
  8.20,   2.68E-010, 
  8.30,   2.83E-010, 
  8.40,   1.33E-010, 
  8.50,   8.97E-011, 
  8.60,   6.84E-011, 
  8.70,   3.25E-011, 
  8.80,   2.08E-011, 
  8.90,   1.29E-011, 
  9.00,   3.03E-011, 
  9.10,   4.04E-011, 
  9.20,   6.39E-011, 
  9.30,   5.95E-011, 
  9.40,   8.30E-011, 
  9.50,   7.01E-011, 
  9.60,   4.43E-011, 
  9.70,   6.73E-011, 
  9.80,   9.87E-011, 
  9.90,   7.01E-011, 
 10.00,   2.24E-011, 
 10.10,   2.08E-011, 
 10.20,   3.25E-011, 
 10.30,   5.83E-011, 
 10.40,   7.29E-011, 
 10.50,   9.09E-011, 
 10.60,   7.40E-011, 
 10.70,   7.85E-011, 
 10.80,   9.65E-011, 
 10.90,   9.25E-011, 
 11.00,   9.98E-011, 
 11.10,   1.01E-010, 
 11.20,   1.17E-010, 
 11.30,   1.25E-010, 
 11.40,   1.63E-010, 
 11.50,   4.46E-010, 
 11.60,   2.03E-009, 
 11.70,   6.74E-009, 
 11.80,   1.16E-008, 
 11.90,   1.41E-008, 
 12.00,   1.48E-008, 
 12.10,   1.36E-008, 
 12.20,   1.18E-008, 
 12.30,   8.23E-009, 
 12.40,   2.47E-009, 
 12.50,   1.04E-009, 
 12.60,   6.32E-010, 
 12.70,   6.60E-010, 
 12.80,   8.88E-010, 
 12.90,   1.06E-009, 
 13.00,   1.22E-009, 
 13.10,   1.31E-009, 
 13.20,   1.28E-009, 
 13.30,   1.09E-009, 
 13.40,   6.52E-010, 
 13.50,   5.31E-010, 
 13.60,   1.38E-009, 
 13.70,   3.98E-009, 
 13.80,   7.11E-009, 
 13.90,   8.87E-009, 
 14.00,   9.37E-009, 
 14.10,   8.98E-009, 
 14.20,   8.09E-009, 
 14.30,   6.15E-009, 
 14.40,   2.30E-009, 
 14.50,   1.21E-009, 
 14.60,   1.75E-009, 
 14.70,   4.45E-009, 
 14.80,   7.94E-009, 
 14.90,   1.02E-008, 
 15.00,   1.09E-008, 
 15.10,   1.07E-008, 
 15.20,   1.01E-008, 
 15.30,   8.75E-009, 
 15.40,   4.85E-009, 
 15.50,   1.31E-008, 
 15.60,   7.55E-008, 
 15.70,   1.33E-007, 
 15.80,   1.73E-007, 
 15.90,   1.88E-007, 
 16.00,   1.90E-007, 
 16.10,   1.81E-007, 
 16.20,   1.61E-007, 
 16.30,   9.10E-008, 
 16.40,   2.61E-008, 
 16.50,   1.30E-007, 
 16.60,   5.79E-007, 
 16.70,   9.89E-007, 
 16.80,   1.30E-006, 
 16.90,   1.41E-006, 
 17.00,   1.43E-006, 
 17.10,   1.34E-006, 
 17.20,   1.20E-006, 
 17.30,   6.33E-007, 
 17.40,   1.04E-007, 
 17.50,   4.72E-007, 
 17.60,   2.20E-006, 
 17.70,   3.85E-006, 
 17.80,   5.12E-006, 
 17.90,   5.67E-006, 
 18.00,   5.78E-006, 
 18.10,   5.55E-006, 
 18.20,   5.01E-006, 
 18.30,   2.82E-006, 
 18.40,   3.94E-008, 
 18.50,   6.62E-009, 
 18.60,   1.22E-008, 
 18.70,   2.72E-008, 
 18.80,   3.92E-008, 
 18.90,   4.50E-008, 
 19.00,   4.77E-008, 
 19.10,   4.52E-008, 
 19.20,   4.17E-008, 
 19.30,   3.08E-008, 
 19.40,   5.12E-009, 
 19.50,   1.67E-009, 
 19.60,   1.75E-009, 
 19.70,   3.35E-009, 
 19.80,   5.56E-009, 
 19.90,   7.23E-009, 
 20.00,   7.84E-009, 
 20.10,   7.93E-009, 
 20.20,   7.42E-009, 
 20.30,   5.87E-009, 
 20.40,   2.18E-009, 
 20.50,   9.04E-010, 
 20.60,   4.96E-010, 
 20.70,   3.14E-010, 
 20.80,   1.58E-010, 
 20.90,   1.33E-010, 
 21.00,   1.28E-010, 
 21.10,   1.50E-010, 
 21.20,   1.43E-010, 
 21.30,   1.61E-010, 
 21.40,   1.53E-010, 
 21.50,   1.22E-010, 
 21.60,   2.42E-010, 
 21.70,   4.80E-010, 
 21.80,   7.01E-010, 
 21.90,   9.21E-010, 
 22.00,   1.06E-009, 
 22.10,   1.11E-009, 
 22.20,   1.12E-009, 
 22.30,   9.64E-010, 
 22.40,   5.82E-010, 
 22.50,   3.32E-010, 
 22.60,   1.90E-010, 
 22.70,   1.22E-010, 
 22.80,   4.94E-011, 
 22.90,   5.61E-011, 
 23.00,   8.81E-011, 
 23.10,   9.65E-011, 
 23.20,   8.86E-011, 
 23.30,   6.62E-011, 
 23.40,   7.35E-011, 
 23.50,   5.66E-011, 
 23.60,   5.38E-011, 
 23.70,   6.39E-011, 
 23.80,   1.07E-010, 
 23.90,   1.44E-010, 
 24.00,   1.72E-010, 
 24.10,   2.74E-010, 
 24.20,   2.61E-010, 
 24.30,   1.45E-010, 
 24.40,   1.22E-010, 
 24.50,   1.10E-010, 
 24.60,   1.27E-010, 
 24.70,   1.67E-010, 
 24.80,   2.22E-010, 
 24.90,   2.87E-010, 
 25.00,   2.97E-010, 
 25.10,   3.06E-010, 
 25.20,   2.96E-010, 
 25.30,   2.96E-010, 
 25.40,   2.61E-010, 
 25.50,   2.03E-010, 
 25.60,   3.71E-010, 
 25.70,   5.86E-010, 
 25.80,   8.65E-010, 
 25.90,   1.17E-009, 
 26.00,   1.32E-009, 
 26.10,   1.45E-009, 
 26.20,   1.45E-009, 
 26.30,   1.31E-009, 
 26.40,   7.78E-010, 
 26.50,   5.02E-010, 
 26.60,   8.05E-010, 
 26.70,   1.49E-009, 
 26.80,   2.32E-009, 
 26.90,   3.16E-009, 
 27.00,   3.69E-009, 
 27.10,   3.98E-009, 
 27.20,   4.14E-009, 
 27.30,   4.22E-009, 
 27.40,   3.76E-009, 
 27.50,   1.23E-008, 
 27.60,   5.58E-008, 
 27.70,   8.90E-008, 
 27.80,   1.15E-007, 
 27.90,   1.34E-007, 
 28.00,   1.40E-007, 
 28.10,   1.36E-007, 
 28.20,   1.19E-007, 
 28.30,   6.88E-008, 
 28.40,   5.92E-009, 
 28.50,   1.88E-009, 
 28.60,   2.37E-009, 
 28.70,   4.10E-009, 
 28.80,   6.25E-009, 
 28.90,   8.00E-009, 
 29.00,   8.96E-009, 
 29.10,   8.86E-009, 
 29.20,   8.36E-009, 
 29.30,   6.70E-009, 
 29.40,   2.59E-009, 
 29.50,   2.18E-009, 
 29.60,   7.62E-009, 
 29.70,   1.53E-008, 
 29.80,   2.11E-008, 
 29.90,   2.49E-008, 
 30.00,   2.67E-008, 
 30.10,   2.61E-008, 
 30.20,   2.36E-008, 
 30.30,   1.69E-008, 
 30.40,   3.63E-009, 
 30.50,   1.31E-009, 
 30.60,   7.69E-010, 
 30.70,   6.85E-010, 
 30.80,   7.42E-010, 
 30.90,   8.92E-010, 
 31.00,   1.05E-009, 
 31.10,   1.22E-009, 
 31.20,   1.48E-009, 
 31.30,   1.87E-009, 
 31.40,   2.58E-009, 
 31.50,   1.09E-008, 
 31.60,   4.70E-008, 
 31.70,   7.11E-008, 
 31.80,   9.00E-008, 
 31.90,   1.05E-007, 
 32.00,   1.11E-007, 
 32.10,   1.07E-007, 
 32.20,   9.46E-008, 
 32.30,   5.11E-008, 
 32.40,   4.96E-009, 
 32.50,   1.44E-009, 
 32.60,   7.43E-010, 
 32.70,   5.57E-010, 
 32.80,   5.34E-010, 
 32.90,   5.52E-010, 
 33.00,   5.68E-010, 
 33.10,   6.10E-010, 
 33.20,   6.18E-010, 
 33.30,   5.50E-010, 
 33.40,   3.66E-010, 
 33.50,   2.76E-010, 
 33.60,   2.85E-010, 
 33.70,   3.12E-010, 
 33.80,   3.83E-010, 
 33.90,   4.30E-010, 
 34.00,   4.21E-010, 
 34.10,   4.64E-010, 
 34.20,   4.59E-010, 
 34.30,   4.57E-010, 
 34.40,   3.18E-010, 
 34.50,   1.45E-010, 
 34.60,   1.36E-010, 
 34.70,   1.93E-010, 
 34.80,   2.58E-010, 
 34.90,   1.85E-010, 
 35.00,   1.74E-010, 
 35.10,   2.28E-010, 
 35.20,   1.54E-010, 
 35.30,   1.59E-010, 
 35.40,   1.58E-010, 
 35.50,   2.60E-010, 
 35.60,   2.74E-010, 
 35.70,   2.67E-010, 
 35.80,   3.48E-010, 
 35.90,   4.53E-010, 
 36.00,   4.54E-010, 
 36.10,   4.62E-010, 
 36.20,   4.78E-010, 
 36.30,   4.43E-010, 
 36.40,   2.72E-010, 
 36.50,   8.30E-011, 
 36.60,   8.58E-011, 
 36.70,   1.05E-010, 
 36.80,   8.97E-011, 
 36.90,   1.09E-010, 
 37.00,   1.44E-010, 
 37.10,   2.13E-010, 
 37.20,   2.72E-010, 
 37.30,   2.00E-010, 
 37.40,   9.48E-011, 
 37.50,   1.18E-010, 
 37.60,   1.42E-010, 
 37.70,   1.78E-010, 
 37.80,   2.54E-010, 
 37.90,   2.78E-010, 
 38.00,   3.43E-010, 
 38.10,   3.53E-010, 
 38.20,   3.11E-010, 
 38.30,   3.15E-010, 
 38.40,   2.43E-010, 
 38.50,   1.36E-010, 
 38.60,   1.65E-010, 
 38.70,   2.78E-010, 
 38.80,   3.47E-010, 
