AMU,Pressure1,Pressure2,Pressure3
55.9,1.90E-10,-1.57E-11,1.88E-10
56,2.39E-10,1.23E-11,1.45E-10
56.1,2.27E-10,6.73E-12,2.52E-10
56.2,2.62E-10,-3.70E-11,2.59E-10
56.3,2.68E-10,7.40E-11,2.62E-10
56.4,2.53E-10,1.07E-10,2.17E-10
56.5,1.58E-10,7.18E-11,2.06E-10
56.6,1.27E-10,1.44E-10,2.37E-10
56.7,1.05E-10,1.64E-10,1.90E-10
56.8,1.35E-10,1.34E-10,2.22E-10
56.9,8.97E-11,8.86E-11,2.93E-10
57,8.08E-11,1.31E-10,5.11E-10
57.1,1.74E-10,1.30E-10,6.42E-10
57.2,1.95E-10,2.42E-10,5.23E-10
57.3,2.38E-10,4.90E-10,1.82E-10
57.4,1.81E-10,7.29E-12,1.87E-10
57.5,1.79E-10,1.68E-12,1.35E-10
57.6,1.97E-10,-5.61E-13,1.39E-10
57.7,1.76E-10,5.61E-13,1.23E-10
57.8,1.88E-10,-2.80E-12,2.55E-10
57.9,1.43E-10,9.81E-11,2.69E-10
58,2.08E-10,1.07E-10,2.68E-10
58.1,1.87E-10,2.19E-11,2.76E-10
58.2,1.24E-10,2.97E-11,2.64E-10
58.3,1.99E-10,6.62E-11,2.16E-10
58.4,2.33E-10,1.32E-10,2.50E-10
58.5,1.91E-10,1.07E-10,2.05E-10
58.6,1.50E-10,6.28E-11,1.83E-10
58.7,1.65E-10,5.95E-11,2.78E-10
58.8,1.37E-10,1.40E-10,2.65E-10
58.9,1.46E-10,1.31E-10,2.21E-10
59,1.21E-10,8.81E-11,2.21E-10
59.1,1.40E-10,5.50E-11,1.78E-10
59.2,1.12E-10,6.56E-11,2.53E-10
59.3,2.23E-10,8.75E-11,2.41E-10
59.4,2.15E-10,6.17E-11,2.08E-10
59.5,2.24E-10,6.34E-11,1.70E-10
59.6,2.16E-10,8.64E-11,1.72E-10
59.7,1.39E-10,9.25E-11,1.93E-10
59.8,1.23E-10,1.40E-10,1.83E-10
59.9,1.24E-10,8.13E-11,1.83E-10
60,1.83E-10,7.01E-11,1.87E-10
60.1,1.10E-10,8.02E-11,1.99E-10
60.2,7.52E-11,1.27E-10,2.24E-10
60.3,1.53E-10,7.29E-11,2.71E-10
60.4,1.76E-10,6.39E-11,2.78E-10
60.5,1.46E-10,9.14E-11,2.48E-10
60.6,1.38E-10,6.17E-11,2.14E-10
60.7,1.53E-10,4.49E-11,1.83E-10
60.8,1.45E-10,2.97E-11,1.80E-10
60.9,8.08E-11,3.53E-11,1.71E-10
61,1.30E-10,6.73E-11,2.01E-10
61.1,7.96E-11,1.29E-10,1.82E-10
61.2,1.35E-11,1.40E-10,2.14E-10
61.3,2.97E-11,1.41E-10,2.22E-10
61.4,1.39E-10,7.07E-11,1.78E-10
61.5,1.62E-10,4.43E-11,1.79E-10
61.6,1.51E-10,-7.29E-12,2.15E-10
61.7,1.40E-10,3.98E-11,1.99E-10
61.8,1.10E-10,6.28E-11,2.40E-10
61.9,1.03E-10,1.12E-11,2.13E-10
62,1.53E-10,2.13E-11,2.75E-10
62.1,1.63E-10,4.21E-11,2.80E-10
62.2,1.59E-10,7.80E-11,2.21E-10
62.3,1.51E-10,6.28E-11,1.74E-10
62.4,6.84E-11,1.01E-10,1.51E-10
62.5,1.55E-10,7.68E-11,1.03E-10
62.6,2.09E-10,7.07E-11,1.80E-10
62.7,2.08E-10,-9.53E-12,2.24E-10
62.8,2.14E-10,-5.16E-11,1.87E-10
62.9,1.74E-10,6.23E-11,1.17E-10
63,1.53E-10,3.87E-11,1.44E-10
63.1,1.10E-10,8.52E-11,1.56E-10
63.2,1.48E-10,1.18E-10,2.79E-10
63.3,1.97E-10,9.09E-11,2.66E-10
63.4,1.31E-10,7.40E-11,2.93E-10
63.5,1.33E-10,1.60E-10,3.22E-10
63.6,1.58E-10,1.78E-10,2.92E-10
63.7,1.48E-10,1.71E-10,3.01E-10
63.8,1.49E-10,2.02E-10,2.05E-10
63.9,2.07E-10,2.13E-10,4.78E-10
64,2.82E-10,5.24E-10,5.97E-10
64.1,2.95E-10,3.30E-10,5.14E-10
64.2,2.84E-10,3.03E-11,5.24E-10
64.3,3.03E-10,9.59E-11,2.33E-10
64.4,2.55E-10,5.10E-11,1.45E-10
64.5,1.82E-10,-1.63E-11,1.41E-10
64.6,2.00E-10,1.40E-11,1.82E-10
64.7,2.37E-10,-2.80E-11,1.66E-10
64.8,2.34E-10,9.65E-11,1.86E-10
64.9,2.46E-10,1.23E-10,2.38E-10
65,2.01E-10,1.44E-10,2.50E-10
