Oct 01, 2019  02:39:57 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.005

Pressure vs Time Scan Setup:

Active channels in Scan, 4 
Units, Torr
Sample Period, 2.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps
Start time, Oct 01, 2019  02:39:57 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2              H2                    1.00         3            OFF
2         4              He                    1.00         3            OFF
3         32             O2                    1.00         3            OFF
4         28             N2                    1.00         3            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   

142.016,   4.31E-006,   5.07E-007,   6.77E-008,   7.39E-008,  
144.000,   4.29E-006,   4.89E-007,   6.76E-008,   7.42E-008,  
146.016,   4.30E-006,   4.72E-007,   6.78E-008,   7.43E-008,  
148.016,   4.30E-006,   4.57E-007,   6.75E-008,   7.37E-008,  
150.000,   4.33E-006,   4.43E-007,   6.72E-008,   7.36E-008,  
152.000,   4.32E-006,   4.26E-007,   6.73E-008,   7.43E-008,  
154.000,   4.30E-006,   4.11E-007,   6.76E-008,   7.40E-008,  
156.000,   4.31E-006,   3.99E-007,   6.76E-008,   7.41E-008,  
158.000,   4.34E-006,   3.85E-007,   6.71E-008,   7.36E-008,  
160.016,   4.35E-006,   3.71E-007,   6.69E-008,   7.40E-008,  
162.016,   4.34E-006,   3.58E-007,   6.77E-008,   1.02E-007,  
164.000,   4.32E-006,   3.45E-007,   6.71E-008,   7.40E-008,  
166.000,   4.31E-006,   3.36E-007,   6.73E-008,   7.41E-008,  
168.000,   4.34E-006,   3.26E-007,   6.73E-008,   7.36E-008,  
170.016,   4.36E-006,   3.16E-007,   6.71E-008,   7.40E-008,  
172.000,   4.36E-006,   3.07E-007,   6.70E-008,   7.40E-008,  
174.000,   4.36E-006,   2.99E-007,   6.72E-008,   7.36E-008,  
176.016,   4.35E-006,   2.87E-007,   6.66E-008,   7.37E-008,  
178.000,   4.36E-006,   2.81E-007,   6.70E-008,   7.36E-008,  
180.000,   4.37E-006,   2.70E-007,   6.67E-008,   7.37E-008,  
182.000,   4.37E-006,   2.64E-007,   6.67E-008,   7.33E-008,  
184.000,   4.39E-006,   2.56E-007,   6.66E-008,   7.39E-008,  
186.000,   4.37E-006,   2.47E-007,   6.71E-008,   7.35E-008,  
188.000,   4.37E-006,   2.41E-007,   6.63E-008,   7.30E-008,  
190.000,   4.37E-006,   2.33E-007,   6.64E-008,   7.35E-008,  
192.016,   4.40E-006,   2.26E-007,   6.67E-008,   7.38E-008,  
194.000,   4.38E-006,   2.19E-007,   6.66E-008,   7.28E-008,  
196.000,   4.40E-006,   2.13E-007,   6.59E-008,   7.33E-008,  
198.000,   4.39E-006,   2.06E-007,   6.68E-008,   7.30E-008,  
200.000,   4.37E-006,   2.00E-007,   6.62E-008,   7.26E-008,  
202.016,   4.40E-006,   1.94E-007,   6.63E-008,   7.28E-008,  
204.000,   4.36E-006,   1.88E-007,   6.61E-008,   7.24E-008,  
206.016,   4.37E-006,   1.84E-007,   6.62E-008,   7.29E-008,  
208.000,   4.41E-006,   1.79E-007,   6.61E-008,   7.29E-008,  
210.000,   4.38E-006,   1.72E-007,   6.58E-008,   7.29E-008,  
212.000,   4.40E-006,   1.68E-007,   6.62E-008,   7.27E-008,  
214.000,   4.42E-006,   1.64E-007,   6.59E-008,   7.24E-008,  
216.016,   4.40E-006,   1.59E-007,   6.61E-008,   7.26E-008,  
218.000,   4.40E-006,   1.55E-007,   6.58E-008,   7.33E-008,  
220.000,   4.41E-006,   1.50E-007,   6.56E-008,   7.26E-008,  
222.000,   4.42E-006,   1.45E-007,   6.59E-008,   7.26E-008,  
224.016,   4.40E-006,   1.42E-007,   6.57E-008,   7.29E-008,  
226.016,   4.40E-006,   1.38E-007,   6.56E-008,   7.24E-008,  
228.016,   4.43E-006,   1.34E-007,   6.53E-008,   7.30E-008,  
230.000,   4.41E-006,   1.30E-007,   6.52E-008,   7.19E-008,  
232.000,   4.41E-006,   1.25E-007,   6.54E-008,   7.18E-008,  
234.000,   4.41E-006,   1.23E-007,   6.43E-008,   7.20E-008,  
236.016,   4.41E-006,   1.20E-007,   6.52E-008,   7.46E-008,  
238.016,   4.42E-006,   1.17E-007,   6.53E-008,   7.20E-008,  
240.016,   4.43E-006,   1.13E-007,   6.55E-008,   7.24E-008,  
242.000,   4.44E-006,   1.10E-007,   6.45E-008,   7.23E-008,  
244.000,   4.43E-006,   1.07E-007,   6.52E-008,   7.22E-008,  
246.000,   4.41E-006,   1.03E-007,   6.50E-008,   7.20E-008,  
248.016,   4.42E-006,   1.01E-007,   6.49E-008,   7.22E-008,  
250.000,   4.44E-006,   9.77E-008,   6.55E-008,   7.22E-008,  
252.000,   4.44E-006,   9.56E-008,   6.51E-008,   7.22E-008,  
254.000,   4.45E-006,   9.28E-008,   6.50E-008,   7.17E-008,  
256.016,   4.44E-006,   8.98E-008,   6.49E-008,   7.18E-008,  
258.016,   4.43E-006,   8.75E-008,   6.47E-008,   7.20E-008,  
260.016,   4.45E-006,   8.59E-008,   6.48E-008,   7.17E-008,  
262.016,   4.44E-006,   8.33E-008,   6.44E-008,   7.19E-008,  
264.000,   4.45E-006,   8.16E-008,   6.51E-008,   7.23E-008,  
266.000,   4.44E-006,   7.92E-008,   6.41E-008,   7.18E-008,  
268.016,   4.46E-006,   7.65E-008,   6.41E-008,   7.17E-008,  
270.016,   4.47E-006,   7.50E-008,   6.44E-008,   7.23E-008,  
272.016,   4.44E-006,   7.35E-008,   6.48E-008,   7.19E-008,  
274.016,   4.47E-006,   7.18E-008,   6.43E-008,   7.16E-008,  
276.000,   4.45E-006,   6.94E-008,   6.44E-008,   7.19E-008,  
278.000,   4.46E-006,   6.78E-008,   6.44E-008,   7.14E-008,  
280.016,   4.46E-006,   6.67E-008,   6.42E-008,   7.16E-008,  
282.000,   4.46E-006,   6.52E-008,   6.41E-008,   7.16E-008,  
284.016,   4.45E-006,   6.38E-008,   6.47E-008,   7.18E-008,  
