Sep 26, 2019  03:47:46 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


  1.00,  -5.41E-009, 
  1.10,  -3.63E-009, 
  1.20,   7.69E-008, 
  1.30,   8.02E-007, 
  1.40,   6.69E-007, 
  1.50,   3.37E-006, 
  1.60,   7.43E-006, 
  1.70,   1.20E-005, 
  1.80,   1.44E-005, 
  1.90,   1.75E-005, 
  2.00,   1.85E-005, 
  2.10,   1.85E-005, 
  2.20,   1.81E-005, 
  2.30,   1.49E-005, 
  2.40,   4.68E-006, 
  2.50,   9.60E-008, 
  2.60,   2.31E-008, 
  2.70,   2.12E-008, 
  2.80,   3.08E-008, 
  2.90,   4.33E-008, 
  3.00,   5.11E-008, 
  3.10,   5.99E-008, 
  3.20,   7.12E-008, 
  3.30,   8.62E-008, 
  3.40,   1.16E-007, 
  3.50,   3.34E-007, 
  3.60,   1.63E-006, 
  3.70,   4.15E-006, 
  3.80,   6.08E-006, 
  3.90,   6.58E-006, 
  4.00,   7.53E-006, 
  4.10,   7.12E-006, 
  4.20,   6.59E-006, 
  4.30,   4.61E-006, 
  4.40,   4.11E-007, 
  4.50,   2.25E-008, 
  4.60,   7.94E-009, 
  4.70,   4.58E-009, 
  4.80,   3.98E-009, 
  4.90,   4.36E-009, 
  5.00,   4.81E-009, 
  5.10,   5.10E-009, 
  5.20,   5.26E-009, 
  5.30,   4.78E-009, 
  5.40,   3.12E-009, 
  5.50,   1.70E-009, 
  5.60,   9.36E-010, 
  5.70,   3.16E-010, 
  5.80,   5.50E-011, 
  5.90,   5.05E-011, 
  6.00,   1.57E-011, 
  6.10,   1.85E-011, 
  6.20,   1.01E-011, 
  6.30,   3.93E-012, 
  6.40,  -1.79E-011, 
  6.50,  -3.37E-011, 
  6.60,   8.64E-011, 
  6.70,   9.93E-011, 
  6.80,   1.90E-010, 
  6.90,   1.24E-010, 
  7.00,   1.22E-010, 
  7.10,   1.52E-010, 
  7.20,   2.00E-010, 
  7.30,   2.00E-010, 
  7.40,   1.21E-010, 
  7.50,   1.12E-010, 
  7.60,   1.35E-010, 
  7.70,   2.22E-010, 
  7.80,   2.91E-010, 
  7.90,   3.58E-010, 
  8.00,   3.62E-010, 
  8.10,   4.01E-010, 
  8.20,   3.98E-010, 
  8.30,   3.34E-010, 
  8.40,   2.09E-010, 
  8.50,   2.92E-010, 
  8.60,   3.34E-010, 
  8.70,   3.22E-010, 
  8.80,   2.35E-010, 
  8.90,   1.60E-010, 
  9.00,   2.94E-010, 
  9.10,   2.46E-010, 
  9.20,   2.09E-010, 
  9.30,   2.01E-010, 
  9.40,   2.42E-010, 
  9.50,   2.57E-010, 
  9.60,   2.71E-010, 
  9.70,   3.15E-010, 
  9.80,   1.78E-010, 
  9.90,   1.48E-010, 
 10.00,   1.39E-010, 
 10.10,   1.12E-010, 
 10.20,   1.30E-010, 
 10.30,   1.27E-010, 
 10.40,   1.86E-010, 
 10.50,   2.09E-010, 
 10.60,   2.48E-010, 
 10.70,   3.40E-010, 
 10.80,   3.21E-010, 
 10.90,   2.94E-010, 
 11.00,   2.81E-010, 
 11.10,   2.77E-010, 
 11.20,   2.74E-010, 
 11.30,   3.37E-010, 
 11.40,   5.15E-010, 
 11.50,   1.06E-009, 
 11.60,   2.93E-009, 
 11.70,   7.63E-009, 
 11.80,   1.33E-008, 
 11.90,   1.78E-008, 
 12.00,   2.04E-008, 
 12.10,   2.05E-008, 
 12.20,   1.92E-008, 
 12.30,   1.54E-008, 
 12.40,   7.40E-009, 
 12.50,   3.68E-009, 
 12.60,   2.36E-009, 
 12.70,   2.07E-009, 
 12.80,   2.34E-009, 
 12.90,   2.74E-009, 
 13.00,   3.35E-009, 
 13.10,   4.08E-009, 
 13.20,   5.34E-009, 
 13.30,   8.33E-009, 
 13.40,   1.82E-008, 
 13.50,   1.09E-007, 
 13.60,   5.10E-007, 
 13.70,   9.41E-007, 
 13.80,   1.18E-006, 
 13.90,   1.33E-006, 
 14.00,   1.34E-006, 
 14.10,   1.32E-006, 
 14.20,   1.14E-006, 
 14.30,   6.26E-007, 
 14.40,   3.76E-008, 
 14.50,   1.24E-008, 
 14.60,   1.41E-008, 
 14.70,   2.73E-008, 
 14.80,   4.07E-008, 
 14.90,   4.81E-008, 
 15.00,   5.37E-008, 
 15.10,   5.37E-008, 
 15.20,   5.19E-008, 
 15.30,   4.54E-008, 
 15.40,   2.75E-008, 
 15.50,   9.01E-008, 
 15.60,   3.81E-007, 
 15.70,   6.99E-007, 
 15.80,   8.55E-007, 
 15.90,   9.94E-007, 
 16.00,   9.92E-007, 
 16.10,   9.81E-007, 
 16.20,   8.64E-007, 
 16.30,   5.11E-007, 
 16.40,   1.18E-007, 
 16.50,   5.15E-007, 
 16.60,   1.91E-006, 
 16.70,   3.42E-006, 
 16.80,   4.15E-006, 
 16.90,   4.80E-006, 
 17.00,   4.81E-006, 
 17.10,   4.84E-006, 
 17.20,   4.31E-006, 
 17.30,   2.57E-006, 
 17.40,   5.12E-007, 
 17.50,   2.25E-006, 
 17.60,   7.77E-006, 
 17.70,   1.41E-005, 
 17.80,   1.80E-005, 
 17.90,   2.12E-005, 
 18.00,   2.19E-005, 
 18.10,   2.19E-005, 
 18.20,   1.96E-005, 
 18.30,   1.23E-005, 
 18.40,   2.57E-007, 
 18.50,   4.68E-008, 
 18.60,   9.08E-008, 
 18.70,   1.96E-007, 
 18.80,   2.64E-007, 
 18.90,   3.14E-007, 
 19.00,   3.35E-007, 
 19.10,   3.43E-007, 
 19.20,   3.39E-007, 
 19.30,   3.36E-007, 
 19.40,   3.84E-007, 
 19.50,   1.92E-006, 
 19.60,   5.56E-006, 
 19.70,   8.85E-006, 
 19.80,   1.05E-005, 
 19.90,   1.20E-005, 
 20.00,   1.17E-005, 
 20.10,   1.18E-005, 
 20.20,   1.04E-005, 
 20.30,   4.65E-006, 
 20.40,   9.15E-008, 
 20.50,   2.14E-008, 
 20.60,   2.06E-008, 
 20.70,   3.41E-008, 
 20.80,   4.79E-008, 
 20.90,   5.89E-008, 
 21.00,   6.26E-008, 
 21.10,   6.40E-008, 
 21.20,   6.12E-008, 
 21.30,   5.11E-008, 
 21.40,   3.71E-008, 
 21.50,   1.80E-007, 
 21.60,   5.60E-007, 
 21.70,   8.87E-007, 
 21.80,   1.06E-006, 
 21.90,   1.21E-006, 
 22.00,   1.17E-006, 
 22.10,   1.18E-006, 
 22.20,   1.04E-006, 
 22.30,   4.84E-007, 
 22.40,   2.73E-008, 
 22.50,   8.07E-009, 
 22.60,   3.95E-009, 
 22.70,   2.88E-009, 
 22.80,   2.67E-009, 
 22.90,   2.63E-009, 
 23.00,   2.88E-009, 
 23.10,   3.06E-009, 
 23.20,   3.02E-009, 
 23.30,   2.80E-009, 
 23.40,   1.74E-009, 
 23.50,   1.03E-009, 
 23.60,   7.10E-010, 
 23.70,   6.15E-010, 
 23.80,   1.97E-010, 
 23.90,   2.42E-010, 
 24.00,   3.51E-010, 
 24.10,   3.91E-010, 
 24.20,   7.24E-010, 
 24.30,   5.82E-010, 
 24.40,   2.37E-010, 
 24.50,   3.14E-010, 
 24.60,   5.14E-010, 
 24.70,   9.21E-010, 
 24.80,   1.01E-009, 
 24.90,   9.74E-010, 
 25.00,   1.04E-009, 
 25.10,   1.12E-009, 
 25.20,   1.19E-009, 
 25.30,   1.11E-009, 
 25.40,   9.54E-010, 
 25.50,   1.12E-009, 
 25.60,   1.84E-009, 
 25.70,   3.20E-009, 
 25.80,   4.72E-009, 
 25.90,   6.22E-009, 
 26.00,   7.26E-009, 
 26.10,   8.01E-009, 
 26.20,   8.42E-009, 
 26.30,   8.21E-009, 
 26.40,   6.46E-009, 
 26.50,   6.75E-009, 
 26.60,   1.11E-008, 
 26.70,   1.99E-008, 
 26.80,   3.07E-008, 
 26.90,   4.43E-008, 
 27.00,   6.55E-008, 
 27.10,   1.00E-007, 
 27.20,   1.76E-007, 
 27.30,   3.69E-007, 
 27.40,   9.50E-007, 
 27.50,   3.70E-006, 
 27.60,   1.10E-005, 
 27.70,   1.76E-005, 
 27.80,   2.17E-005, 
 27.90,   2.55E-005, 
 28.00,   2.66E-005, 
 28.10,   2.70E-005, 
 28.20,   2.37E-005, 
 28.30,   1.48E-005, 
 28.40,   3.64E-007, 
 28.50,   1.19E-007, 
 28.60,   3.29E-007, 
 28.70,   5.59E-007, 
 28.80,   6.99E-007, 
 28.90,   8.38E-007, 
 29.00,   8.52E-007, 
 29.10,   8.62E-007, 
 29.20,   7.57E-007, 
 29.30,   5.06E-007, 
 29.40,   6.67E-008, 
 29.50,   1.53E-007, 
 29.60,   4.77E-007, 
 29.70,   7.41E-007, 
 29.80,   8.91E-007, 
 29.90,   1.05E-006, 
 30.00,   1.05E-006, 
 30.10,   1.05E-006, 
 30.20,   9.13E-007, 
 30.30,   5.09E-007, 
 30.40,   3.59E-008, 
 30.50,   1.03E-008, 
 30.60,   7.71E-009, 
 30.70,   9.76E-009, 
 30.80,   1.33E-008, 
 30.90,   1.78E-008, 
 31.00,   2.38E-008, 
 31.10,   3.35E-008, 
 31.20,   5.50E-008, 
 31.30,   1.11E-007, 
 31.40,   2.87E-007, 
 31.50,   1.32E-006, 
 31.60,   3.34E-006, 
 31.70,   4.69E-006, 
 31.80,   5.40E-006, 
 31.90,   6.27E-006, 
 32.00,   6.21E-006, 
 32.10,   6.21E-006, 
 32.20,   5.49E-006, 
 32.30,   2.49E-006, 
 32.40,   7.23E-008, 
 32.50,   1.64E-008, 
 32.60,   1.52E-008, 
 32.70,   2.24E-008, 
 32.80,   2.99E-008, 
 32.90,   3.67E-008, 
 33.00,   4.01E-008, 
 33.10,   4.05E-008, 
 33.20,   3.67E-008, 
 33.30,   2.93E-008, 
 33.40,   1.18E-008, 
 33.50,   7.64E-009, 
 33.60,   1.03E-008, 
 33.70,   1.52E-008, 
 33.80,   1.96E-008, 
 33.90,   2.38E-008, 
 34.00,   2.62E-008, 
 34.10,   2.65E-008, 
 34.20,   2.46E-008, 
 34.30,   2.02E-008, 
 34.40,   9.08E-009, 
 34.50,   4.22E-009, 
 34.60,   2.47E-009, 
 34.70,   1.71E-009, 
 34.80,   1.34E-009, 
 34.90,   1.15E-009, 
 35.00,   1.04E-009, 
 35.10,   1.08E-009, 
 35.20,   9.74E-010, 
 35.30,   8.68E-010, 
 35.40,   7.55E-010, 
 35.50,   9.15E-010, 
 35.60,   1.44E-009, 
 35.70,   1.92E-009, 
 35.80,   2.40E-009, 
 35.90,   2.74E-009, 
 36.00,   3.10E-009, 
 36.10,   3.32E-009, 
 36.20,   3.21E-009, 
 36.30,   2.77E-009, 
 36.40,   1.75E-009, 
 36.50,   1.15E-009, 
 36.60,   9.49E-010, 
 36.70,   8.34E-010, 
 36.80,   7.92E-010, 
 36.90,   8.14E-010, 
 37.00,   7.52E-010, 
 37.10,   7.38E-010, 
 37.20,   6.98E-010, 
 37.30,   6.48E-010, 
 37.40,   6.57E-010, 
 37.50,   6.20E-010, 
 37.60,   7.45E-010, 
 37.70,   9.78E-010, 
 37.80,   1.15E-009, 
 37.90,   1.29E-009, 
 38.00,   1.42E-009, 
 38.10,   1.57E-009, 
 38.20,   1.50E-009, 
 38.30,   1.32E-009, 
 38.40,   1.04E-009, 
 38.50,   8.51E-010, 
 38.60,   9.71E-010, 
 38.70,   1.17E-009, 
 38.80,   1.49E-009, 
 38.90,   1.93E-009, 
