Sep 24, 2019  04:02:02 PM
Residual Gas Analyzer Software 
Software Version, 3.005

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.78E-004 
Filament Current, 1.00, mAmps


 20.40,   2.64E-011, 
 20.50,   9.20E-011, 
 20.60,   1.26E-010, 
 20.70,   8.75E-011, 
 20.80,   1.55E-010, 
 20.90,   2.13E-010, 
 21.00,   1.45E-010, 
 21.10,   9.87E-011, 
 21.20,   3.93E-011, 
 21.30,  -6.51E-011, 
 21.40,  -2.36E-011, 
 21.50,   4.32E-011, 
 21.60,   3.59E-011, 
 21.70,   8.75E-011, 
 21.80,   8.36E-011, 
 21.90,   1.25E-010, 
 22.00,   1.36E-010, 
 22.10,   8.13E-011, 
 22.20,   1.14E-010, 
 22.30,   8.58E-011, 
 22.40,   4.60E-011, 
 22.50,   2.36E-011, 
 22.60,   7.12E-011, 
 22.70,   9.70E-011, 
 22.80,   4.71E-011, 
 22.90,   3.81E-011, 
 23.00,   5.95E-011, 
 23.10,   4.88E-011, 
 23.20,   8.08E-011, 
 23.30,   3.70E-011, 
 23.40,   4.99E-011, 
 23.50,   6.06E-011, 
 23.60,   1.74E-011, 
 23.70,  -1.91E-011, 
 23.80,  -1.12E-011, 
 23.90,  -3.48E-011, 
 24.00,  -2.08E-011, 
 24.10,   2.24E-012, 
 24.20,   2.80E-011, 
 24.30,   1.00E-010, 
 24.40,   1.06E-010, 
 24.50,   7.18E-011, 
 24.60,   3.98E-011, 
 24.70,   2.52E-011, 
 24.80,   1.35E-010, 
 24.90,   1.31E-010, 
 25.00,   7.23E-011, 
 25.10,   3.59E-011, 
 25.20,   8.36E-011, 
 25.30,   1.52E-010, 
 25.40,   9.20E-011, 
 25.50,   6.00E-011, 
 25.60,   5.83E-011, 
 25.70,   2.19E-011, 
 25.80,   7.01E-011, 
 25.90,   1.43E-010, 
 26.00,   1.16E-010, 
 26.10,   9.65E-011, 
 26.20,   4.04E-011, 
 26.30,   7.74E-011, 
 26.40,   1.18E-010, 
 26.50,   1.39E-010, 
 26.60,   7.96E-011, 
 26.70,   4.15E-011, 
 26.80,   1.11E-010, 
 26.90,   8.86E-011, 
 27.00,   8.92E-011, 
 27.10,   7.80E-011, 
 27.20,   7.07E-011, 
 27.30,   6.84E-011, 
 27.40,   5.22E-011, 
 27.50,   5.10E-011, 
 27.60,   6.28E-011, 
 27.70,   1.01E-010, 
 27.80,   1.18E-010, 
 27.90,   1.62E-010, 
 28.00,   1.33E-010, 
 28.10,   1.31E-010, 
 28.20,   9.76E-011, 
 28.30,   8.19E-011, 
 28.40,   1.10E-010, 
 28.50,   1.76E-010, 
 28.60,   1.40E-010, 
 28.70,   1.27E-010, 
 28.80,   7.68E-011, 
 28.90,   4.66E-011, 
 29.00,   1.11E-010, 
 29.10,   1.63E-010, 
 29.20,   1.37E-010, 
 29.30,   1.70E-010, 
 29.40,   9.42E-011, 
 29.50,   9.31E-011, 
 29.60,   1.21E-010, 
 29.70,   1.41E-010, 
 29.80,   1.51E-010, 
 29.90,   1.65E-010, 
 30.00,   1.39E-010, 
 30.10,   1.08E-010, 
 30.20,   1.15E-010, 
 30.30,   4.15E-011, 
 30.40,   1.12E-012, 
 30.50,   6.00E-011, 
 30.60,   8.36E-011, 
 30.70,   1.47E-010, 
 30.80,   1.26E-010, 
 30.90,   8.75E-011, 
 31.00,   1.21E-010, 
 31.10,   7.35E-011, 
 31.20,   7.29E-011, 
 31.30,   7.74E-011, 
 31.40,   1.13E-010, 
 31.50,   1.12E-010, 
 31.60,   9.81E-011, 
 31.70,   1.47E-010, 
 31.80,   1.14E-010, 
 31.90,   1.50E-010, 
 32.00,   8.58E-011, 
 32.10,   1.45E-010, 
 32.20,   1.37E-010, 
 32.30,   1.12E-010, 
 32.40,   1.12E-010, 
 32.50,   1.14E-010, 
 32.60,   6.73E-011, 
 32.70,   8.41E-011, 
 32.80,   7.91E-011, 
 32.90,   4.88E-011, 
 33.00,   5.83E-011, 
 33.10,   1.19E-010, 
 33.20,   1.81E-010, 
 33.30,   1.84E-010, 
 33.40,   1.21E-010, 
 33.50,   1.37E-010, 
 33.60,   1.55E-010, 
 33.70,   1.68E-010, 
 33.80,   1.47E-010, 
 33.90,   1.57E-010, 
 34.00,   1.08E-010, 
 34.10,   9.59E-011, 
 34.20,   1.16E-010, 
 34.30,   1.06E-010, 
 34.40,   8.86E-011, 
 34.50,   1.27E-010, 
 34.60,   8.30E-011, 
 34.70,   1.16E-010, 
 34.80,   7.52E-011, 
 34.90,   1.21E-010, 
 35.00,   7.52E-011, 
 35.10,   9.48E-011, 
 35.20,   1.12E-010, 
 35.30,   1.18E-010, 
 35.40,   1.30E-010, 
 35.50,   9.70E-011, 
 35.60,   1.27E-010, 
 35.70,   1.70E-010, 
 35.80,   2.23E-010, 
 35.90,   1.58E-010, 
 36.00,   1.44E-010, 
 36.10,   1.57E-010, 
 36.20,   1.52E-010, 
 36.30,   1.14E-010, 
 36.40,   3.37E-011, 
 36.50,   9.53E-012, 
 36.60,   1.26E-010, 
 36.70,   2.12E-010, 
 36.80,   1.92E-010, 
 36.90,   1.31E-010, 
 37.00,   1.13E-010, 
 37.10,   9.93E-011, 
 37.20,   1.14E-010, 
 37.30,   1.21E-010, 
 37.40,   3.31E-011, 
 37.50,   2.75E-011, 
 37.60,   1.04E-010, 
 37.70,   1.75E-010, 
 37.80,   1.91E-010, 
 37.90,   1.07E-010, 
 38.00,   1.45E-010, 
 38.10,   1.48E-010, 
 38.20,   1.56E-010, 
 38.30,   1.42E-010, 
 38.40,   5.05E-011, 
 38.50,   7.29E-012, 
 38.60,  -1.96E-011, 
 38.70,  -6.39E-011, 
 38.80,  -1.74E-011, 
 38.90,   1.01E-011, 
 39.00,  -1.57E-011, 
 39.10,   6.73E-012, 
 39.20,   8.81E-011, 
 39.30,   9.65E-011, 
 39.40,   1.19E-010, 
 39.50,   1.27E-010, 
 39.60,   1.25E-010, 
 39.70,   1.79E-011, 
 39.80,   3.25E-011, 
 39.90,   5.27E-011, 
 40.00,   5.10E-011, 
 40.10,   5.05E-011, 
 40.20,   2.69E-011, 
 40.30,   6.84E-011, 
 40.40,   9.37E-011, 
 40.50,   2.20E-010, 
 40.60,   1.96E-010, 
 40.70,   8.30E-011, 
 40.80,  -6.17E-012, 
 40.90,   1.74E-011, 
 41.00,   3.65E-011, 
 41.10,   7.68E-011, 
 41.20,   1.19E-010, 
 41.30,   1.16E-010, 
 41.40,   1.17E-010, 
 41.50,   1.05E-010, 
 41.60,   1.59E-010, 
 41.70,   1.31E-010, 
 41.80,   1.02E-010, 
 41.90,   1.38E-010, 
 42.00,   1.32E-010, 
 42.10,   2.13E-010, 
 42.20,   1.52E-010, 
 42.30,   1.46E-010, 
 42.40,   1.96E-010, 
 42.50,   2.32E-010, 
 42.60,   1.48E-010, 
 42.70,   1.01E-010, 
 42.80,   1.54E-010, 
 42.90,   1.23E-010, 
 43.00,   1.76E-010, 
 43.10,   2.33E-010, 
 43.20,   2.11E-010, 
 43.30,   9.98E-011, 
 43.40,   7.23E-011, 
 43.50,   1.23E-010, 
 43.60,   8.64E-011, 
 43.70,  -1.18E-011, 
 43.80,  -1.40E-011, 
 43.90,   5.78E-011, 
 44.00,   6.23E-011, 
 44.10,   1.19E-010, 
 44.20,   1.37E-010, 
 44.30,   1.53E-010, 
 44.40,   1.44E-010, 
 44.50,   1.14E-010, 
 44.60,   1.31E-010, 
 44.70,   1.21E-010, 
 44.80,   1.22E-010, 
 44.90,   1.85E-010, 
 45.00,   1.58E-010, 
 45.10,   1.23E-010, 
 45.20,   8.13E-011, 
 45.30,   1.14E-010, 
 45.40,   1.66E-010, 
 45.50,   1.16E-010, 
 45.60,   1.31E-010, 
 45.70,   1.25E-010, 
 45.80,   1.63E-010, 
 45.90,   2.27E-010, 
 46.00,   2.29E-010, 
 46.10,   2.22E-010, 
 46.20,   1.98E-010, 
 46.30,   1.40E-010, 
 46.40,   1.27E-010, 
 46.50,   1.35E-010, 
 46.60,   1.82E-010, 
 46.70,   1.66E-010, 
 46.80,   1.46E-010, 
 46.90,   2.50E-010, 
 47.00,   2.25E-010, 
 47.10,   2.10E-010, 
 47.20,   2.00E-010, 
 47.30,   9.76E-011, 
 47.40,   1.28E-010, 
 47.50,   1.67E-010, 
 47.60,   1.90E-010, 
 47.70,   1.95E-010, 
 47.80,   1.96E-010, 
 47.90,   1.76E-010, 
 48.00,   7.01E-011, 
 48.10,   5.05E-011, 
 48.20,   5.44E-011, 
 48.30,   6.79E-011, 
 48.40,   9.93E-011, 
 48.50,   1.52E-010, 
 48.60,   1.54E-010, 
 48.70,   1.63E-010, 
 48.80,   2.08E-010, 
 48.90,   1.59E-010, 
 49.00,   1.73E-010, 
 49.10,   2.05E-010, 
 49.20,   1.51E-010, 
 49.30,   9.37E-011, 
 49.40,   1.36E-010, 
 49.50,   8.58E-011, 
 49.60,   1.04E-010, 
 49.70,   5.78E-011, 
 49.80,   4.88E-011, 
 49.90,   5.27E-011, 
 50.00,   9.25E-011, 
 50.10,   1.50E-010, 
 50.20,   1.14E-010, 
 50.30,   7.80E-011, 
 50.40,   1.02E-010, 
 50.50,   1.22E-010, 
 50.60,   1.72E-010, 
 50.70,   1.52E-010, 
 50.80,   1.74E-010, 
 50.90,   1.42E-010, 
 51.00,   1.16E-010, 
 51.10,   8.36E-011, 
 51.20,   1.03E-010, 
 51.30,   7.07E-011, 
 51.40,   1.18E-010, 
 51.50,   1.90E-010, 
 51.60,   1.05E-010, 
 51.70,   8.64E-011, 
 51.80,   1.35E-010, 
 51.90,   8.97E-011, 
 52.00,   1.11E-010, 
 52.10,   1.67E-010, 
 52.20,   1.81E-010, 
 52.30,   1.84E-010, 
 52.40,   1.28E-010, 
 52.50,   1.22E-010, 
 52.60,   1.54E-010, 
 52.70,   1.16E-010, 
 52.80,   9.42E-011, 
 52.90,   1.47E-010, 
 53.00,   1.45E-010, 
 53.10,   7.96E-011, 
 53.20,   3.59E-011, 
 53.30,   1.33E-010, 
 53.40,   1.74E-010, 
 53.50,   1.97E-010, 
 53.60,   2.24E-010, 
 53.70,   1.51E-010, 
 53.80,   1.26E-010, 
 53.90,   2.10E-010, 
 54.00,   2.82E-010, 
 54.10,   2.43E-010, 
 54.20,   2.56E-010, 
 54.30,   1.80E-010, 
 54.40,   1.85E-010, 
 54.50,   2.04E-010, 
 54.60,   1.75E-010, 
 54.70,   1.32E-010, 
 54.80,   1.89E-010, 
 54.90,   1.34E-010, 
 55.00,   9.53E-011, 
 55.10,   1.61E-010, 
 55.20,   1.47E-010, 
 55.30,   1.26E-010, 
 55.40,   1.49E-010, 
 55.50,   1.36E-010, 
 55.60,   1.15E-010, 
 55.70,   1.26E-010, 
 55.80,   1.27E-010, 
 55.90,   1.84E-010, 
 56.00,   1.38E-010, 
 56.10,   1.55E-010, 
 56.20,   9.37E-011, 
 56.30,   1.22E-010, 
 56.40,   2.12E-010, 
 56.50,   2.28E-010, 
 56.60,   2.69E-010, 
 56.70,   1.59E-010, 
 56.80,   1.68E-010, 
 56.90,   1.18E-010, 
 57.00,   6.11E-011, 
 57.10,   9.98E-011, 
 57.20,   1.51E-010, 
 57.30,   1.04E-010, 
 57.40,   9.20E-011, 
 57.50,   1.29E-010, 
 57.60,   1.16E-010, 
 57.70,   1.35E-010, 
 57.80,   1.53E-010, 
 57.90,   1.92E-010, 
 58.00,   1.67E-010, 
 58.10,   1.97E-010, 
 58.20,   7.12E-011, 
 58.30,   2.64E-011, 
 58.40,   9.87E-011, 
 58.50,   1.33E-010, 
 58.60,   2.01E-010, 
 58.70,   1.85E-010, 
 58.80,   1.75E-010, 
 58.90,   1.42E-010, 
 59.00,   1.35E-010, 
 59.10,   1.62E-010, 
 59.20,   1.67E-010, 
 59.30,   1.23E-010, 
 59.40,   1.15E-010, 
 59.50,   1.27E-010, 
 59.60,   2.04E-010, 
 59.70,   1.74E-010, 
 59.80,   2.05E-010, 
 59.90,   1.90E-010, 
 60.00,   1.35E-010, 
 60.10,   1.22E-010, 
 60.20,   1.40E-010, 
 60.30,   1.56E-010, 
 60.40,   2.51E-010, 
 60.50,   3.01E-010, 
 60.60,   2.53E-010, 
 60.70,   2.45E-010, 
 60.80,   2.01E-010, 
 60.90,   1.69E-010, 
 61.00,   1.60E-010, 
 61.10,   2.35E-010, 
 61.20,   2.70E-010, 
 61.30,   2.73E-010, 
 61.40,   2.54E-010, 
 61.50,   2.06E-010, 
 61.60,   1.55E-010, 
 61.70,   1.34E-010, 
 61.80,   1.39E-010, 
 61.90,   1.57E-010, 
 62.00,   1.68E-010, 
 62.10,   2.28E-010, 
 62.20,   2.83E-010, 
 62.30,   2.82E-010, 
 62.40,   2.45E-010, 
 62.50,   2.49E-010, 
 62.60,   1.78E-010, 
 62.70,   1.97E-010, 
 62.80,   2.37E-010, 
 62.90,   2.01E-010, 
 63.00,   1.73E-010, 
 63.10,   1.31E-010, 
 63.20,   1.99E-010, 
 63.30,   2.44E-010, 
 63.40,   1.99E-010, 
 63.50,   1.70E-010, 
 63.60,   1.96E-010, 
 63.70,   2.22E-010, 
 63.80,   2.18E-010, 
 63.90,   2.09E-010, 
 64.00,   2.29E-010, 
 64.10,   2.50E-010, 
 64.20,   2.82E-010, 
 64.30,   2.30E-010, 
 64.40,   2.37E-010, 
 64.50,   2.43E-010, 
 64.60,   2.14E-010, 
 64.70,   2.04E-010, 
 64.80,   2.09E-010, 
 64.90,   1.62E-010, 
 65.00,   1.63E-010, 
